Produto,Preco
Energético Monster Lata 473ml,"Valor: R$ 7,98"
Energético Monster Ultra Lata 473ml,"Valor: R$ 7,98"
Energético Juice Monster Mango Loco Lata 473ml,"Valor: R$ 7,98"
Energético Absolutely Zero Monster Lata  473ml,"Valor: R$ 7,98"
Energético Ultra Violet Zero Açúcar Monster Lata 473ml,"Valor: R$ 7,98"
Energético Zero Açúcar Monster Ultra Paradise Lata 473ml,"Valor: R$ 8,48"
Energético Juice Monster Khaos Lata 473ml,"Valor: R$ 7,98"
Energético Lemon Monster Dragon Ice Tea Lata 473ml,"Valor: R$ 8,48"
